id,nama,habitat,informasi
1,Ikan Arwana,Air Tawar,"Ikan Arwana, (Scleropages formosus/Arowana dalam bahasa Inggris), termasuk dalam kelompok karnivora. Dalam kehidupan alaminya, ikan Arwana memangsa berbagai jenis mangsa, seperti ikan kecil, serangga, dan bahkan kelelawar yang berada di sekitarnya. 
Ikan Arwana memiliki tubuh yang panjang dan ramping dengan sisik bersinar yang memberikan kesan kilauan perak. Tubuhnya dikenal tahan lama dan aerodinamis, memungkinkan mereka untuk berenang dengan cepat di air. Ikan Arwana tidak mengandung racun dan aman untuk dikonsumsi. Meskipun biasanya dijadikan ikan hias, beberapa komunitas di Asia memanfaatkan ikan Arwana sebagai sumber protein dengan memasaknya. Nutrisi yang terkandung dalam daging ikan Arwana dapat memberikan asupan protein yang baik untuk kesehatan manusia."
2,Ikan Bandeng,Air Payau,"Ikan Bandeng (Chanos chanos/Milkfish dalam bahasa Inggris) termasuk dalam kategori herbivora. Makanannya utamanya terdiri dari tumbuhan atau alga laut. Secara alami, ikan Bandeng memakan fitoplankton, zooplankton, serta detritus organik di lingkungan airnya. 
Ikan Bandeng memiliki tubuh yang relatif panjang dan ramping dengan sisik kecil yang bersinar. Tubuhnya ditandai oleh warna perak kebiruan yang melengkung di bagian atasnya. Salah satu ciri khasnya adalah adanya sirip punggung yang panjang dan dua sirip dubur yang juga mencuat. Ikan Bandeng tidak bersifat beracun dan merupakan ikan yang umumnya dikonsumsi. Daging ikan Bandeng memiliki nilai nutrisi yang tinggi, mengandung protein, asam lemak omega-3, vitamin, dan mineral seperti fosfor dan selenium. Konsumsi ikan Bandeng secara teratur dapat memberikan manfaat bagi kesehatan jantung, pertumbuhan sel, dan fungsi sistem saraf."
3,Ikan Bawal putih,Air Payau,"Ikan Bawal Putih (Lates calcarifer/Barramundi dalam bahasa Inggris) termasuk dalam kelompok omnivora. Secara umum, ikan Bawal Putih memakan plankton, krustasea, ikan kecil, dan detritus organik. 
Ikan Bawal Putih memiliki bentuk tubuh menyerupai bentuk belah ketupat dengan ukuran tubuh maksimal 15-20 cm. Tubuhnya dilengkapi dengan sirip punggung, sirip dubur, dan sirip ekor yang proporsional. Tubuh Ikan Bawal Putih berwarna putih perak dan bagian atas tubuh dan siripnya berwarna keabu-abuan. Ikan Bawal Putih tidak bersifat beracun dan merupakan ikan yang umumnya dikonsumsi. Dagingnya kaya akan nutrisi, termasuk Omega-3, vitamin (B2 dan D), kalsium, fosfor, dan mineral. Selain itu, ikan bawal juga mengandung asam lemak tak jenuh yang membuatnya mudah untuk dapat dicerna oleh tubuh dengan sempurna."
4,Ikan Belanak,Air Payau,"Ikan Belanak (Mugil cephalus/Bluespot Mullet dalam bahasa Inggris) termasuk dalam kelompok herbivora. Makanan utamanya terdiri dari tumbuhan atau alga laut. Ikan Belanak cenderung memakan alga, detritus organik, dan mikroorganisme di lingkungan perairan. 
Ikan Belanak memiliki tubuh yang silindris dan agak gepeng dengan sisik yang halus dan warna tubuh yang bervariasi antara keperakan hingga keabu-abuan. Ciri khasnya adalah adanya sepasang sirip punggung yang ditempatkan di bagian belakang tubuh. Ikan Belanak umumnya tidak beracun dan merupakan ikan yang biasa dikonsumsi. Dagingnya mengandung nutrisi yang baik, terutama protein, asam lemak omega-3, vitamin B, dan mineral seperti selenium dan fosfor. Konsumsi ikan Belanak dapat memberikan manfaat bagi kesehatan jantung, penglihatan, dan pertumbuhan sel, menjadikannya pilihan makanan yang sehat dan bergizi."
5,Ikan Betok,Air Tawar,"Ikan Betok (Anabas testudineus/Climbing Perch dalam bahasa Inggris) termasuk dalam kelompok omnivora. Secara umum, ikan Betok memakan serangga, larva, dan berbagai jenis plankton yang ditemukan di sekitar habitat airnya.
Ikan Betok memiliki tubuh yang panjang dan ramping dengan sisik kecil dan licin. Ciri khas yang membedakan ikan Betok adalah adanya sirip punggung yang panjang dan memiliki duri yang dapat digerakkan, memungkinkan ikan ini dapat bergerak di daratan dan bahkan dapat memanjat. Ikan Betok umumnya tidak bersifat beracun dan merupakan ikan yang aman untuk dikonsumsi. Dagingnya mengandung nutrisi penting seperti protein, asam lemak omega-3, vitamin B12, dan mineral seperti selenium dan fosfor. Konsumsi ikan Betok dapat memberikan manfaat bagi pertumbuhan dan perkembangan tubuh, menjadikannya sebagai sumber protein yang baik untuk kesehatan manusia."
6,Ikan Cakalang,Air Laut,"Ikan Cakalang (Katsuwonus pelamis/Skipjack Tuna dalam bahasa Inggris) termasuk dalam kelompok karnivora. Skipjack Tuna biasanya memangsa ikan-ikan kecil, krustasea, dan cephalopoda di perairan terbuka. 
Ikan Cakalang memiliki tubuh yang memanjang, ramping, dan aerodinamis dengan warna tubuh yang berkilau kebiruan di bagian atasnya dan perut yang lebih terang. Sirip dorsal dan analnya berada di belakang tubuhnya, memberikan kelebihan dalam berenang di perairan terbuka. Ikan Cakalang umumnya tidak beracun dan dapat dikonsumsi oleh manusia. Dagingnya mengandung protein tinggi, asam lemak omega-3, vitamin B, dan mineral seperti selenium dan fosfor. Kandungan nutrisi yang tinggi menjadikan ikan Cakalang sebagai sumber pangan yang bernilai gizi, yang dapat mendukung kesehatan jantung, otak, dan sistem saraf manusia."
7,Ikan Dori,Air Laut,"Ikan Dori (Zeus faber/John Dory dalam bahasa Inggris) termasuk dalam kelompok karnivora. John Dory dikenal sebagai pemangsa yang lihai, memakan ikan-ikan kecil, udang, dan moluska di perairan dangkal hingga sedalam beberapa ratus meter. 
Ikan Dori memiliki tubuh yang datar dan cakram, dengan kepala besar yang ditandai oleh mata besar di bagian atas dan moncong panjang. Tubuhnya berwarna keperakan dengan bercak-bercak gelap yang dapat membantu menyamarkan ikan ini di lingkungan laut. Ikan dori umumnya aman untuk dikonsumsi dan tidak dianggap beracun. Dagingnya lembut dan enak, mengandung protein, asam lemak omega-3, vitamin B, dan mineral seperti fosfor dan selenium. Konsumsi ikan Dori dapat memberikan manfaat bagi kesehatan jantung, penglihatan, dan perkembangan otak, menjadikannya pilihan makanan laut yang populer dan bernutrisi."
8,Ikan Gabus,Air Tawar,"Ikan Gabus (Channa striata/Snakehead Fish dalam bahasa Inggris) termasuk dalam kelompok karnivora. Snakehead Fish dikenal sebagai predator yang agresif, memangsa ikan kecil, serangga, dan krustasea di perairan air tawar. 
Ikan Gabus memiliki tubuh yang silindris dan agak memanjang, dengan kepala besar dan moncong yang tumpul. Warna tubuhnya bervariasi, tetapi biasanya cenderung kecoklatan atau hijau keabu-abuan. Beberapa spesies ikan Gabus memiliki corak dan belang khas yang dapat membantu menyamarkan mereka di antara tanaman air. Secara umum, ikan Gabus tidak bersifat beracun dan merupakan ikan yang dapat dikonsumsi. Dagingnya mengandung protein, asam lemak omega-3, vitamin D, dan mineral seperti fosfor. Meskipun popularitasnya sebagai target ikan olahraga, beberapa komunitas di Asia mengonsumsi ikan Gabus sebagai sumber protein, menyediakan nutrisi yang baik untuk pertumbuhan dan perkembangan tubuh manusia."
9,Ikan Gurame,Air Tawar,"Ikan Gurame (Osphronemus goramy/Carp Fish dalam bahasa Inggris. Ikan ini termasuk dalam kelompok omnivora. Gurame cenderung memakan alga, plankton, serangga kecil, dan detritus organik di perairan air tawar. 
Ikan Gurame memiliki tubuh yang pipih dan memanjang dengan sisik yang halus dan berkilau. Sirip punggungnya sering kali lebih panjang dan berwarna mencolok, menambah daya tarik visual ikan ini. Gurame umumnya tidak bersifat beracun dan merupakan ikan yang umumnya dikonsumsi. Dagingnya kaya akan nutrisi, mengandung protein tinggi, asam lemak omega-3, vitamin B, dan mineral. Konsumsi ikan Gurame dapat memberikan manfaat bagi kesehatan jantung, pertumbuhan sel, dan fungsi sistem saraf. Oleh karena itu, ikan Gurame menjadi pilihan yang populer di banyak kawasan, baik sebagai ikan konsumsi maupun ikan hias."
10,Ikan Kakap Merah,Air Laut,"Nama latin ikan kakap merah adalah Lutjanus sebae. Dalam bahasa Inggris, ikan kakap merah dikenal sebagai  Red Emperor Snapper. Ikan kakap merah biasanya ditemukan di perairan hangat dan tropis, terutama di sekitar terumbu karang di Samudra Hindia dan Pasifik Barat. Mereka sering kali hidup di kedalaman yang cukup dalam. Ikan kakap merah termasuk dalam kategori karnivora, dan makanan utamanya mencakup ikan kecil, udang, dan krustasea lainnya.
Ciri fisik ikan kakap merah mencakup tubuh yang oval, sirip punggung yang panjang, dan warna tubuh yang khas, yaitu merah tua atau oranye. Beberapa spesies kakap merah memiliki corak atau bintik-bintik pada tubuhnya. Ikan kakap merah biasanya dikonsumsi dan dianggap sebagai ikan laut yang lezat. Dagingnya memiliki tekstur yang baik dan rasa yang khas. Kandungan gizi ikan kakap merah termasuk protein, omega-3, vitamin D, vitamin B12, selenium, dan fosfor. Konsumsi ikan kakap merah dalam batas yang sehat dapat memberikan manfaat nutrisi bagi tubuh."
